                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0121,                 1.7454,                  3.415,                 1.1099,                0.01441,                 0.9058,                0.09874,                0.07441,                0.01441,                 0.9058,                0.09129,                0.06446,                0.56094,                0.83038,                 3.1545,                 0.8765,                 0.0883,                 0.0013,                 0.0013
                      1,                0.81273,                 1.1197,                 3.0384,                 0.9561,                0.01539,                      1,                0.18547,                0.13038,                0.01539,                      1,                0.18001,                0.11661,                0.57802,                0.79622,                 2.9521,                0.85709,               0.075611,              0.0026109,              0.0026109
                      2,                0.81141,                  1.113,                 2.2968,                0.92301,                0.02056,                      1,                0.53853,                0.42488,                0.02056,                      1,                0.53779,                0.35963,                0.63337,                0.70197,                 2.4507,                0.87322,               0.062829,              0.0038294,              0.0038294
                      3,                0.91288,                0.98757,                 1.7523,                0.91692,                0.31744,                0.90882,                 0.5191,                0.40626,                0.31744,                0.90882,                0.49953,                0.33889,                0.60484,                0.75364,                 2.4363,                0.86799,               0.049955,              0.0049555,              0.0049555
                      4,                0.88993,                 0.9691,                 1.5962,                0.93254,                0.41205,                0.06733,                0.46109,                0.37696,                0.41205,                0.06733,                0.47663,                0.34929,                0.65606,                0.66346,                 2.4606,                0.89379,               0.036989,              0.0059892,              0.0059892
                      5,                0.88594,                   1.06,                   1.55,                 0.9249,                0.40552,                0.10736,                 0.4898,                0.40303,                0.40552,                0.10736,                0.49768,                0.33932,                0.59728,                0.85744,                 2.3381,                0.88286,                0.02393,              0.0069305,              0.0069305
                      6,                0.90039,                 1.0291,                 1.4395,                0.94306,                0.57697,                0.23897,                0.55936,                0.45881,                0.57697,                0.23897,                0.56359,                0.35108,                0.64088,                0.89677,                 2.1769,                0.88107,               0.010779,              0.0077794,              0.0077794
                      7,                0.86719,                 1.0279,                 1.3829,                0.92738,                0.62518,                0.49576,                0.63174,                0.51581,                0.62518,                0.49576,                 0.6313,                0.39163,                0.63027,                0.88828,                 1.9894,                0.88068,                0.00769,                0.00769,                0.00769
                      8,                0.84872,                0.97526,                 1.3101,                0.93116,                0.63559,                0.66787,                0.69126,                0.56095,                0.61193,                0.65399,                0.69519,                0.47495,                0.65806,                0.73055,                 1.8244,                0.87951,                0.00769,                0.00769,                0.00769
                      9,                 0.8707,                0.99273,                 1.2696,                0.93541,                0.72367,                0.75906,                0.79784,                0.65326,                0.72367,                0.75906,                 0.7976,                0.53798,                0.68234,                0.73104,                 1.4388,                0.90458,                0.00736,                0.00736,                0.00736
                     10,                0.84213,                0.87261,                 1.2336,                0.93476,                0.70438,                0.78156,                0.83686,                0.69256,                0.70438,                0.78156,                0.83342,                0.57858,                0.64648,                0.73224,                 1.4557,                0.89382,                0.00703,                0.00703,                0.00703
